method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,train_n,repeat
Logistic Regression,500,0.16037595801753923,0.008718458004295826,0.54,0.54,0.5695444444444444,0.5384615384615384,1000,3
L1 Logistic,500,0.10855333297513425,0.00850370799889788,0.5583333333333333,0.5583333333333333,0.5989222222222221,0.5485519591141397,1000,3
Linear SVM,500,0.35053595900535583,0.009069291991181672,0.5416666666666666,0.5416666666666666,0.5704666666666667,0.5439469320066335,1000,3
RBF-SVM,500,0.7438917500548996,0.2475219169864431,0.5733333333333334,0.5733333333333334,0.6027555555555556,0.564625850340136,1000,3
Random Forest,500,0.270634250016883,0.05304283299483359,0.6866666666666666,0.6866666666666666,0.7526777777777779,0.6713286713286714,1000,3
Logistic Regression,500,0.1596087499638088,0.013165875046979636,0.545,0.5449999999999999,0.573,0.5396290050590219,1000,4
L1 Logistic,500,0.18396370898699388,0.009512791992165148,0.59,0.59,0.6077111111111111,0.594059405940594,1000,4
Linear SVM,500,0.7387832089443691,0.009643250028602779,0.545,0.5449999999999999,0.5703,0.5411764705882353,1000,4
RBF-SVM,500,0.7415830829995684,0.24714220804162323,0.5916666666666667,0.5916666666666667,0.6043666666666666,0.6029173419773096,1000,4
Random Forest,500,0.3021650410373695,0.05463600001530722,0.6666666666666666,0.6666666666666666,0.7402611111111113,0.6742671009771987,1000,4
Logistic Regression,500,0.173137332953047,0.008176375005859882,0.5316666666666666,0.5316666666666667,0.5685444444444444,0.5308848080133556,1500,0
L1 Logistic,500,0.0738226660178043,0.00833625002996996,0.57,0.5700000000000001,0.5961222222222222,0.5597269624573379,1500,0
Linear SVM,500,0.1444400000036694,0.009108582977205515,0.535,0.5349999999999999,0.5704111111111111,0.5342237061769616,1500,0
RBF-SVM,500,1.7218742920085788,0.3656178749515675,0.5783333333333334,0.5783333333333334,0.6037111111111111,0.5689948892674617,1500,0
Random Forest,500,0.39949695800896734,0.05438720801612362,0.7083333333333334,0.7083333333333333,0.7791555555555556,0.6945898778359512,1500,0
Logistic Regression,500,0.13957649999065325,0.00879812496714294,0.55,0.55,0.584388888888889,0.543918918918919,1500,1
L1 Logistic,500,0.1927600420312956,0.008870583027601242,0.575,0.575,0.6050777777777778,0.5742904841402338,1500,1
Linear SVM,500,0.14961949997814372,0.010230707994196564,0.5483333333333333,0.5483333333333333,0.5897222222222221,0.5430016863406408,1500,1
RBF-SVM,500,1.7185973330051638,0.3663135409587994,0.585,0.585,0.6165333333333334,0.5801011804384486,1500,1
Random Forest,500,0.40470754099078476,0.05549354100367054,0.7016666666666667,0.7016666666666667,0.7847,0.6897746967071057,1500,1
Logistic Regression,500,0.1544096249854192,0.008964499982539564,0.5516666666666666,0.5516666666666667,0.5905,0.556836902800659,1500,2
L1 Logistic,500,0.20400679198792204,0.008638458035420626,0.575,0.575,0.6119333333333333,0.5757071547420965,1500,2
Linear SVM,500,0.12371970905223861,0.008298542001284659,0.5533333333333333,0.5533333333333333,0.5917777777777778,0.5577557755775577,1500,2
RBF-SVM,500,1.7268587079597637,0.37186862499220297,0.5666666666666667,0.5666666666666667,0.6144444444444443,0.559322033898305,1500,2
Random Forest,500,0.3991549590136856,0.054332375002559274,0.68,0.6799999999999999,0.7710722222222222,0.6619718309859155,1500,2
Logistic Regression,500,0.13647983397822827,0.008715374977327883,0.5933333333333334,0.5933333333333334,0.5825222222222222,0.5973597359735974,1500,3
L1 Logistic,500,0.24731349997455254,0.008711084024980664,0.5766666666666667,0.5766666666666667,0.6085222222222222,0.5680272108843537,1500,3
Linear SVM,500,0.14320787496399134,0.008786291989963502,0.59,0.5900000000000001,0.5884,0.5927152317880795,1500,3
RBF-SVM,500,1.7202250000555068,0.37476054101716727,0.595,0.595,0.6201111111111111,0.592964824120603,1500,3
Random Forest,500,0.4595734999747947,0.0556957499939017,0.6833333333333333,0.6833333333333333,0.7623388888888889,0.6678321678321678,1500,3
Logistic Regression,500,0.22642608295427635,0.012618332984857261,0.5633333333333334,0.5633333333333334,0.5880888888888889,0.5618729096989966,1500,4
L1 Logistic,500,0.08599116699770093,0.00879045797046274,0.5766666666666667,0.5766666666666667,0.6088555555555556,0.5680272108843537,1500,4
Linear SVM,500,0.14422933402238414,0.012455334013793617,0.57,0.5700000000000001,0.5915555555555556,0.5671140939597316,1500,4
RBF-SVM,500,1.7333225830225274,0.3670306249987334,0.59,0.5900000000000001,0.6159777777777777,0.5953947368421053,1500,4
Random Forest,500,0.42584212496876717,0.06576716696145013,0.6916666666666667,0.6916666666666667,0.7773833333333333,0.6714031971580817,1500,4
Logistic Regression,500,0.30558608297724277,0.008536166977137327,0.58,0.58,0.5994111111111111,0.5757575757575758,2000,0
L1 Logistic,500,0.10086016700370237,0.008713125018402934,0.5816666666666667,0.5816666666666667,0.614311111111111,0.5767284991568297,2000,0
Linear SVM,500,0.1593157920287922,0.008637833991087973,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,2000,0
