component,explained_variance_ratio,cumulative_explained_variance
470,0.0006360464445683364,0.9909580199490262
471,0.0006289945947486935,0.991587014543775
472,0.0006219394857515468,0.9922089540295265
473,0.0006159132787375544,0.992824867308264
474,0.0006109024720009644,0.993435769780265
475,0.0006058882681309507,0.994041658048396
476,0.0005982140144989579,0.994639872062895
477,0.0005959108503339664,0.9952357829132289
478,0.000590507492868763,0.9958262904060976
479,0.0005873274402883154,0.9964136178463859
480,0.0005785213205612311,0.9969921391669472
481,0.0005677223815981629,0.9975598615485454
482,0.000560636334513524,0.9981204978830589
483,0.0005545722474735241,0.9986750701305325
484,0.0005460196258855652,0.999221089756418
485,0.0005415295220029643,0.9997626192784209
486,1.8490361907522838e-05,0.9997811096403284
487,1.844819258606181e-05,0.9997995578329144
488,1.805174340974886e-05,0.9998176095763242
489,1.766095034418532e-05,0.9998352705266683
490,1.7182386704310943e-05,0.9998524529133727
491,1.65276475355761e-05,0.9998689805609082
492,1.6295561337039635e-05,0.9998852761222453
493,1.60287690456515e-05,0.9999013048912909
494,1.5248933292806133e-05,0.9999165538245838
495,1.4616079044300184e-05,0.9999311699036281
496,1.4436677397359712e-05,0.9999456065810254
497,1.4310287768636294e-05,0.999959916868794
498,1.3698448450571642e-05,0.9999736153172446
499,1.352403142911775e-05,0.9999871393486737
500,1.2860651326376885e-05,1.0
