method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,feature_selection,k,classifier
RFE + Logistic Regression,10,0.0027527909842319787,0.0012344580027274787,0.5533333333333333,0.5533333333333332,0.5794111111111111,0.541095890410959,RFE,10,Logistic Regression
RFE + Linear SVM,10,0.0021976249990984797,0.0008531669736839831,0.5533333333333333,0.5533333333333332,0.5796888888888889,0.541095890410959,RFE,10,Linear SVM
RFE + RBF-SVM,10,0.658262167009525,0.08550916699459776,0.6083333333333333,0.6083333333333334,0.6440777777777779,0.6191247974068071,RFE,10,RBF-SVM
RFE + Random Forest,10,0.23206787498202175,0.07042237499263138,0.6483333333333333,0.6483333333333333,0.6971388888888889,0.6477462437395659,RFE,10,Random Forest
RFE + Gradient Boosting,10,0.4207367080380209,0.0036255419836379588,0.5966666666666667,0.5966666666666667,0.6390777777777777,0.5939597315436241,RFE,10,Gradient Boosting
RFE + Logistic Regression,20,0.01663270901190117,0.0016179169761016965,0.5433333333333333,0.5433333333333333,0.5911888888888889,0.5508196721311476,RFE,20,Logistic Regression
RFE + Linear SVM,20,0.004368207999505103,0.0009863339946605265,0.545,0.5449999999999999,0.5908555555555556,0.5531914893617021,RFE,20,Linear SVM
RFE + RBF-SVM,20,0.92883950000396,0.09616512496722862,0.5983333333333334,0.5983333333333334,0.6700722222222222,0.5976627712854758,RFE,20,RBF-SVM
RFE + Random Forest,20,0.24683179100975394,0.06974416697630659,0.725,0.725,0.8109833333333334,0.729064039408867,RFE,20,Random Forest
RFE + Gradient Boosting,20,0.7892160840565339,0.0032280420418828726,0.6966666666666667,0.6966666666666667,0.7790888888888889,0.7026143790849673,RFE,20,Gradient Boosting
RFE + Logistic Regression,50,0.020900500006973743,0.002239916007965803,0.5616666666666666,0.5616666666666668,0.5908,0.562396006655574,RFE,50,Logistic Regression
RFE + Linear SVM,50,0.012765875027980655,0.0017682919860817492,0.5583333333333333,0.5583333333333333,0.5924333333333334,0.560530679933665,RFE,50,Linear SVM
RFE + RBF-SVM,50,1.0536722499527968,0.16833866602974012,0.6766666666666666,0.6766666666666667,0.7529166666666667,0.6755852842809364,RFE,50,RBF-SVM
RFE + Random Forest,50,0.26945908297784626,0.07129733299370855,0.8466666666666667,0.8466666666666667,0.9248000000000001,0.8491803278688524,RFE,50,Random Forest
RFE + Gradient Boosting,50,1.7895127499941736,0.004939999955240637,0.7366666666666667,0.7366666666666667,0.8328444444444445,0.7401315789473685,RFE,50,Gradient Boosting
RFE + Logistic Regression,100,0.02128366701072082,0.0032206669566221535,0.5516666666666666,0.5516666666666667,0.5947666666666667,0.556836902800659,RFE,100,Logistic Regression
RFE + Linear SVM,100,0.023630332958418876,0.002326750021893531,0.5483333333333333,0.5483333333333333,0.5966333333333333,0.5520661157024793,RFE,100,Linear SVM
RFE + RBF-SVM,100,1.1210618329932913,0.22178387502208352,0.62,0.62,0.684161111111111,0.6148648648648649,RFE,100,RBF-SVM
RFE + Random Forest,100,0.3355904169729911,0.07297291699796915,0.8133333333333334,0.8133333333333334,0.8835166666666667,0.8114478114478114,RFE,100,Random Forest
RFE + Gradient Boosting,100,3.429597292037215,0.00486233300762251,0.74,0.74,0.8228,0.7408637873754153,RFE,100,Gradient Boosting
RFE + Logistic Regression,200,0.03481224999995902,0.004362415987998247,0.5616666666666666,0.5616666666666668,0.6024666666666667,0.5609348914858097,RFE,200,Logistic Regression
RFE + Linear SVM,200,0.04444120801053941,0.004651791998185217,0.5566666666666666,0.5566666666666666,0.6036111111111111,0.5551839464882943,RFE,200,Linear SVM
RFE + RBF-SVM,200,1.496595582982991,0.23042449995409697,0.6183333333333333,0.6183333333333334,0.6602666666666668,0.6085470085470085,RFE,200,RBF-SVM
RFE + Random Forest,200,0.4244765409966931,0.07344595802715048,0.7583333333333333,0.7583333333333333,0.85595,0.7504302925989673,RFE,200,Random Forest
RFE + Gradient Boosting,200,6.6418816249934025,0.006549499987158924,0.76,0.76,0.8506555555555555,0.7654723127035831,RFE,200,Gradient Boosting
RFE + Logistic Regression,500,0.1907276250422001,0.010245167009998113,0.58,0.58,0.5994111111111111,0.5757575757575758,RFE,500,Logistic Regression
RFE + Linear SVM,500,0.16447770898230374,0.009004542022012174,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,RFE,500,Linear SVM
RFE + RBF-SVM,500,3.2235230000223964,0.49009662499884143,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,RFE,500,RBF-SVM
RFE + Random Forest,500,0.6508301250287332,0.07583358301781118,0.7366666666666667,0.7366666666666666,0.8036333333333333,0.7256944444444444,RFE,500,Random Forest
RFE + Gradient Boosting,500,16.344061667041387,0.014623832947108895,0.7583333333333333,0.7583333333333333,0.8382222222222222,0.7579298831385642,RFE,500,Gradient Boosting
