feature,anova_f,anova_p,mutual_information,l1_logistic_abs_coef,random_forest_importance,permutation_importance,permutation_importance_std,rfe_inverse_rank,rfe_rank,rank_ANOVA F-test,rank_Mutual Information,rank_L1 Logistic,rank_Random Forest,rank_Permutation Importance,rank_RFE
V382,0.7677197300826778,0.3810287252740313,0.003129162711421607,0.03560707544616825,0.0020290819853809156,0.002200000000000002,0.0028913664589601948,0.3333333333333333,3,211,177,128,91,188,51
V383,2.172541875251245,0.14065137350138837,0.0,0.06675656823759779,0.00188502544116623,0.003400000000000003,0.004294182110716781,0.3333333333333333,3,96,247,46,149,106,51
V384,1.417748939709004,0.23391571359799596,0.0,0.03768214739687574,0.001640606287745968,0.0006000000000000005,0.0023748684174075855,0.25,4,138,247,120,307,299,101
V385,5.10830887373145,0.023918762230245815,0.006046658018359352,0.08066025843999214,0.00201696181191386,-0.0006000000000000005,0.001800000000000002,0.5,2,26,127,27,93,391,2
V386,0.1230011720520979,0.7258389717106479,0.0,0.0,0.0017851671650468803,0.0032000000000000028,0.0020396078054371156,0.125,8,378,247,299,204,113,301
V387,0.05729796130670636,0.8108432997515529,0.0,0.0,0.0017642663640009847,0.0032000000000000028,0.003487119154832542,0.09090909090909091,11,408,247,299,216,113,451
V388,0.3073578093660153,0.5793681304069548,0.0,0.0,0.0006208960942727929,0.0,0.0,0.14285714285714285,7,309,247,299,491,345,251
V389,0.6450821615931605,0.4219719757142305,0.015813739512902547,0.0,0.001413696915372792,0.00040000000000000034,0.002332380757938122,0.125,8,232,28,299,414,314,301
V390,0.10930004069101074,0.7409771049949866,0.019580191532787783,0.0,0.0017555240703666646,-0.0020000000000000018,0.0040000000000000036,0.1111111111111111,9,388,11,299,221,463,351
V391,0.5822532499354957,0.4455205537220894,0.0166129247359299,0.022973481269430166,0.0012003018501420442,-0.00020000000000000017,0.0018867962264113225,0.2,5,239,24,187,456,365,151
V392,0.8121673072047261,0.36758887691330633,0.007733121259168474,0.0,0.0016222956703707012,-0.0010000000000000009,0.0020493901531919217,0.09090909090909091,11,202,102,299,317,413,451
V393,0.019834916848697128,0.8880133126371745,0.005965938333790444,0.00307131137843407,0.0009460191018183596,0.0014000000000000013,0.0025377155080899064,0.125,8,443,130,284,476,245,301
V394,0.019192362789826677,0.8898303829418227,0.0007770374204691954,0.0,0.0014992192769065639,0.006200000000000006,0.0018867962264113222,0.1111111111111111,9,446,228,299,381,34,351
V395,0.6764318840664084,0.41091624741571825,0.0,0.015785958268389647,0.0008057928027218677,0.00020000000000000017,0.0027495454169735064,0.16666666666666666,6,226,247,213,484,331,201
V396,1.2257702992100368,0.2683644660501739,0.016831059790888503,0.0365120656283963,0.0018431326200561463,0.0028000000000000026,0.0016000000000000014,0.25,4,153,23,126,175,136,101
V397,0.07441098620887794,0.7850476242526521,0.0,0.0,0.001583333981311275,-0.00040000000000000034,0.003878143885933066,0.09090909090909091,11,400,247,299,334,377,451
V398,0.4759852915193029,0.4903265886303413,0.023296496503411035,0.008825750091898357,0.0017817509497247816,-0.001200000000000001,0.0031240998703626647,0.125,8,256,7,240,205,424,301
V399,0.12762698191604635,0.7209429950456462,0.00019684698784905308,0.0,0.0015055774184438214,0.0016000000000000014,0.0021540659228538035,0.1111111111111111,9,374,243,299,379,230,351
V400,0.6445314502197415,0.42217012818036687,0.0,0.02817770339707593,0.001281343861766659,0.0020000000000000018,0.00268328157299975,0.2,5,233,247,158,447,200,151
V401,0.45370331083391796,0.5006594460904128,0.007264276628049959,0.006490998881460143,0.0012502407816372145,-0.0014000000000000013,0.0018000000000000017,0.125,8,263,110,261,452,434,301
V402,0.26161899942796873,0.6090665762190222,0.0,0.0,0.0016797710991781718,0.0006000000000000005,0.0031048349392520072,0.1,10,326,247,299,279,299,401
